,,,,,,Manual Data Entries,,,,,,Well:5M
Date,Time,In (ft),In (mm),Elevation (ft),,Date,Time,In (mm),,,,
3/11/21,9:40 AM,#VALUE!,-,#VALUE!,,3/11/21,9:40 AM,-,,,,
3/18/21,9:55 AM,#VALUE!,-,#VALUE!,,3/18/21,9:55 AM,-,,,,
3/21/21,10:40 AM,6.58,2006.9,15.36,,3/21/21,10:40 AM,2006.9,,Length from base:,1.317,
3/28/21,9:40 AM,6.45,1967.25,15.49,,3/28/21,9:40 AM,1967.25,,Length of string:,N/A,
4/25/21,9:40 AM,6.45,1967.25,15.49,,4/25/21,9:40 AM,1967.25,,,,
5/2/21,-,#VALUE!,-,#VALUE!,,5/2/21,-,-,,,,
5/16/21,10:33 AM,#VALUE!,-,#VALUE!,,5/16/21,10:33 AM,-,,,,
5/24/21,-,#VALUE!,-,#VALUE!,,5/24/21,-,-,,,,
5/31/21,10:38 AM,6.8,2074,15.14,,5/31/21,10:38 AM,2074,,,,
6/5/21,10:16 AM,6.77,2064.85,15.17,,6/5/21,10:16 AM,2064.85,,,,
6/12/21,9:29 AM,6.8,2074,15.14,,6/12/21,9:29 AM,2074,,,,
6/19/21,11:10 AM,6.64,2024,15.30,,6/19/21,11:10 AM,2024,,,,
6/27/21,9:51 AM,6.30,1920,15.64,,6/27/21,9:51 AM,1920,,,,
7/9/21,10:55 AM,4.37,1332,17.57,,7/9/21,10:55,1332,,,,
7/18/21,9:34 AM,4.38,1335,17.56,,7/18/21,9:34 AM,1335,,,,
7/23/21,10:00 AM,3.85,1173,18.09,,7/23/21,10:00,1173,,,,
7/31/21,11:00 AM,4.47,1362,17.47,,7/31/21,11:00,1362,,,,
8/7/21,10:17 AM,4.05,1234,17.89,,8/7/21,10:17,1234,,,,
8/13/21,10:18 AM,4.17,1271,17.77,,8/13/21,10:18,1271,,,,
8/21/21,10:23 AM,4.00,1219,17.94,,8/21/21,10:23,1219,,,,
8/27/21,2:24 PM,3.92,1195,18.02,,8/27/21,14:24,1195,,,,
9/3/21,2:37 PM,3.92,1195,18.02,,9/3/21,14:37,1195,,,,
9/11/21,10:03 AM,4.24,1292,17.70,,9/11/21,10:03,1292,,,,
9/17/21,2:13 PM,3.78,1152,18.16,,9/17/21,14:13,1152,,,,
9/25/21,10:15 AM,4.10,1250,17.84,,9/25/21,10:15,1250,,,,
10/2/21,10:57 AM,4.15,1265,17.79,,10/2/21,10:57,1265,,,,
10/8/21,2:07 PM,3.94,1201,18.00,,10/8/21,14:07,1201,,,,
10/22/21,2:11 PM,3.75,1143,18.19,,10/22/21,14:11,1143,,,,
