"Location Properties"
"Location Name = Default Site"
"Location ID = fc83a1ba-b00f-5867-b63b-bb05a2432e6c"
"Latitude = 0 °"
"Longitude = 0 °"
"Elevation = 0 m"
""
"Report Properties"
"Start Time = 2021-09-09 09:35:28.197"
"Duration = 8.04:00:01"
"Readings = 197"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Rugged TROLL 100"
"Device SN = 598046"
"Device Firmware = 1.06"
""
"Log Properties"
"Log Name = 7ALog_2021-09-09"
"Log Type = Linear"
"Log File Number = 1"
"Log ID = 3d5d6499-8bd3-5ae2-9004-f007570e60aa"
"Interval = 01:00:00"
""
""
"Date Time","Pressure (psi) (598046)","Temperature (°C) (598046)","Depth (m) (598046)"
"2021-09-12 13:35:28.197","16.71586","27.99341","11.76418"
"2021-09-12 14:35:28.197","16.70096","27.80168","11.7537"
"2021-09-12 15:35:28.197","16.68737","27.84962","11.74413"
"2021-09-12 16:35:28.197","16.70495","27.89755","11.7565"
"2021-09-12 17:35:28.197","16.71464","27.89755","11.76333"
"2021-09-12 18:35:28.197","16.72866","27.80168","11.77319"
"2021-09-12 19:35:28.197","16.72684","27.84962","11.77191"
"2021-09-12 20:35:28.197","16.72486","27.99341","11.77052"
"2021-09-12 21:35:28.197","16.73991","27.70575","11.78111"
"2021-09-12 22:35:28.197","16.74607","27.94551","11.78544"
"2021-09-12 23:35:28.197","16.74762","27.84962","11.78654"
"2021-09-13 00:35:28.197","16.74165","27.89755","11.78233"
"2021-09-13 01:35:28.197","16.73248","27.99341","11.77588"
"2021-09-13 02:35:28.197","16.72207","27.6098","11.76856"
"2021-09-13 03:35:28.197","16.71584","27.6098","11.76417"
"2021-09-13 04:35:28.197","16.71152","27.70575","11.76113"
"2021-09-13 05:35:28.197","16.70891","27.6098","11.75929"
"2021-09-13 06:35:28.197","16.71567","27.70575","11.76405"
"2021-09-13 07:35:28.197","16.72302","27.65778","11.76923"
"2021-09-13 08:35:28.197","16.72278","27.99341","11.76906"
"2021-09-13 09:35:28.197","16.72902","27.99341","11.77344"
"2021-09-13 10:35:28.197","16.72252","27.94551","11.76887"
"2021-09-13 11:35:28.197","16.72553","27.6098","11.77099"
"2021-09-13 12:35:28.197","16.71672","27.89755","11.76479"
"2021-09-13 13:35:28.197","16.69585","27.75371","11.7501"
"2021-09-13 14:35:28.197","16.68747","27.99341","11.7442"
"2021-09-13 15:35:28.197","16.67613","27.94551","11.73622"
"2021-09-13 16:35:28.197","16.67543","27.94551","11.73573"
"2021-09-13 17:35:28.197","16.67335","27.94551","11.73427"
"2021-09-13 18:35:28.197","16.74977","27.6098","11.78805"
"2021-09-13 19:35:28.197","16.79915","27.89755","11.8228"
"2021-09-13 20:35:28.197","16.80018","27.70575","11.82352"
"2021-09-13 21:35:28.197","16.80796","27.6098","11.829"
"2021-09-13 22:35:28.197","16.81898","27.84962","11.83675"
"2021-09-13 23:35:28.197","16.82293","27.5618","11.83954"
"2021-09-14 00:35:28.197","16.82409","27.89755","11.84036"
"2021-09-14 01:35:28.197","16.81212","27.6098","11.83193"
"2021-09-14 02:35:28.197","16.80799","27.99341","11.82902"
"2021-09-14 03:35:28.197","16.79872","27.94551","11.8225"
"2021-09-14 04:35:28.197","16.79136","27.99341","11.81732"
"2021-09-14 05:35:28.197","16.78866","27.75371","11.81542"
"2021-09-14 06:35:28.197","16.7981","27.70575","11.82206"
"2021-09-14 07:35:28.197","16.80347","27.80168","11.82584"
"2021-09-14 08:35:28.197","16.80219","27.94551","11.82494"
"2021-09-14 09:35:28.197","16.80087","27.70575","11.82401"
"2021-09-14 10:35:28.197","16.80842","27.94551","11.82933"
"2021-09-14 11:35:28.197","16.80311","27.6098","11.82559"
"2021-09-14 12:35:28.197","16.79212","27.75371","11.81785"
"2021-09-14 13:35:28.197","16.77837","27.89755","11.80818"
"2021-09-14 14:35:28.197","16.76068","27.70575","11.79573"
"2021-09-14 15:35:28.197","16.74304","27.89755","11.78331"
"2021-09-14 16:35:28.197","16.76797","27.89755","11.80086"
"2021-09-14 17:35:28.197","16.89799","27.84962","11.89236"
"2021-09-14 18:35:28.197","16.94199","27.65778","11.92333"
"2021-09-14 19:35:28.197","16.96673","27.99341","11.94074"
"2021-09-14 20:35:28.197","16.9669","27.89755","11.94086"
"2021-09-14 21:35:28.197","16.99144","27.94551","11.95813"
"2021-09-14 22:35:28.197","16.99213","27.94551","11.95862"
"2021-09-14 23:35:28.197","16.9973","27.75371","11.96226"
"2021-09-15 00:35:28.197","16.9988","27.89755","11.96331"
"2021-09-15 01:35:28.197","16.9917","27.99341","11.95832"
"2021-09-15 02:35:28.197","16.97132","27.94551","11.94397"
"2021-09-15 03:35:28.197","16.95762","27.84962","11.93433"
"2021-09-15 04:35:28.197","16.95778","27.75371","11.93444"
"2021-09-15 05:35:28.197","16.95559","27.6098","11.9329"
"2021-09-15 06:35:28.197","16.95874","27.80168","11.93511"
"2021-09-15 07:35:28.197","16.96343","27.89755","11.93842"
"2021-09-15 08:35:28.197","16.96812","27.99341","11.94172"
"2021-09-15 09:35:28.197","16.96183","27.6098","11.93729"
"2021-09-15 10:35:28.197","16.96108","27.84962","11.93676"
"2021-09-15 11:35:28.197","16.96914","27.80168","11.94243"
"2021-09-15 12:35:28.197","16.97132","27.94551","11.94397"
"2021-09-15 13:35:28.197","16.95084","27.75371","11.92956"
"2021-09-15 14:35:28.197","16.98397","27.84962","11.95287"
"2021-09-15 15:35:28.197","17.07121","27.94551","12.01427"
"2021-09-15 16:35:28.197","17.08124","27.75371","12.02133"
"2021-09-15 17:35:28.197","17.07777","27.75371","12.01889"
"2021-09-15 18:35:28.197","17.08402","27.75371","12.02328"
"2021-09-15 19:35:28.197","17.08498","27.80168","12.02396"
"2021-09-15 20:35:28.197","17.09897","27.94551","12.03381"
"2021-09-15 21:35:28.197","17.1097","27.75371","12.04135"
"2021-09-15 22:35:28.197","17.11205","27.80168","12.04301"
"2021-09-15 23:35:28.197","17.10719","27.80168","12.03959"
"2021-09-16 00:35:28.197","17.11012","27.70575","12.04166"
"2021-09-16 01:35:28.197","17.1019","27.84962","12.03587"
"2021-09-16 02:35:28.197","17.08931","27.70575","12.02701"
"2021-09-16 03:35:28.197","17.0836","27.80168","12.02299"
"2021-09-16 04:35:28.197","17.06652","27.84962","12.01097"
"2021-09-16 05:35:28.197","17.06748","27.89755","12.01164"
"2021-09-16 06:35:28.197","17.0758","27.89755","12.0175"
"2021-09-16 07:35:28.197","17.08093","27.94551","12.02111"
"2021-09-16 08:35:28.197","17.0829","27.80168","12.0225"
"2021-09-16 09:35:28.197","17.09038","27.89755","12.02776"
"2021-09-16 10:35:28.197","17.09235","27.75371","12.02915"
"2021-09-16 11:35:28.197","17.09362","27.6098","12.03004"
"2021-09-16 12:35:28.197","17.13218","27.80168","12.05718"
"2021-09-16 13:35:28.197","17.13132","27.89755","12.05657"
"2021-09-16 14:35:28.197","17.12769","27.99341","12.05402"
"2021-09-16 15:35:28.197","17.11401","27.65778","12.04439"
"2021-09-16 16:35:28.197","17.11216","27.94551","12.04309"
"2021-09-16 17:35:28.197","17.10981","27.89755","12.04143"
"2021-09-16 18:35:28.197","17.11066","27.80168","12.04204"
"2021-09-16 19:35:28.197","17.11888","27.65778","12.04782"
"2021-09-16 20:35:28.197","17.11648","27.84962","12.04613"
"2021-09-16 21:35:28.197","17.11722","27.6098","12.04665"
"2021-09-16 22:35:28.197","17.12326","27.94551","12.0509"
"2021-09-16 23:35:28.197","17.12214","27.99341","12.05011"
"2021-09-17 00:35:28.197","17.12145","27.99341","12.04963"
"2021-09-17 01:35:28.197","17.11279","27.5618","12.04353"
"2021-09-17 02:35:28.197","17.11328","27.89755","12.04388"
"2021-09-17 03:35:28.197","17.09758","27.94551","12.03283"
"2021-09-17 04:35:28.197","17.09373","27.75371","12.03012"
"2021-09-17 05:35:28.197","17.0955","27.94551","12.03137"
"2021-09-17 06:35:28.197","17.09662","27.89755","12.03215"
"2021-09-17 07:35:28.197","17.09496","27.84962","12.03099"
"2021-09-17 08:35:28.197","17.10052","27.84962","12.03489"
"2021-09-17 09:35:28.197","17.10511","27.80168","12.03813"
"2021-09-17 10:35:28.197","17.11312","27.99341","12.04377"
"2021-09-17 11:35:28.197","17.10842","27.89755","12.04045"
"2021-09-17 12:35:28.197","17.1065","27.80168","12.0391"
"2021-09-17 13:35:28.197","14.8228","32.79214","10.4319"
